dgp,Ts,beta,lam,score,coverage,width
scale,50,search,0.6,9.223778260527105,0.8898363750000003,5.467370143154374
scale,50,search,0.7,9.248150235039272,0.8870832499999998,5.427772431996482
scale,50,search,0.8,9.293889181135329,0.8830146249999999,5.37927362274747
scale,50,search,0.9,9.343948900745001,0.8782158750000001,5.31916153229411
scale,50,search,1.0,9.451325195385357,0.8685098750000001,5.205167019737467
scale,50,fixed,0.0,9.166764311979879,0.8976078749999999,5.593148657431638
scale,50,fixed,0.1,9.158015208906782,0.9009478750000005,5.6667667054579
scale,50,fixed,0.2,9.166361234494598,0.9034707499999999,5.740384753484163
scale,50,fixed,0.3,9.189080896115412,0.9054185000000002,5.814002801510423
scale,50,fixed,0.4,9.224168966894059,0.9067613750000001,5.887620849536684
scale,50,fixed,0.5,9.270132073760989,0.9076284999999997,5.961238897562947
scale,50,fixed,0.6,9.325949373252683,0.9080377500000003,6.034856945589204
scale,50,fixed,0.7,9.390974538460483,0.9080946249999997,6.108474993615469
scale,50,fixed,0.8,9.464655843012753,0.9076895000000008,6.182093041641728
scale,50,fixed,0.9,9.546591005059184,0.9069351249999998,6.255711089667991
scale,50,fixed,1.0,9.636719369435509,0.9058271249999997,6.329329137694251
shape,20,search,0.0,4.830210078419676,0.824989875,1.6339918306733279
shape,20,search,0.1,4.691305058452954,0.8530108750000001,1.7800480336159592
shape,20,search,0.2,4.688046028479993,0.8645853750000005,1.8789486816081242
shape,20,search,0.3,4.667731731241748,0.876948625,1.9459216173475362
shape,20,search,0.4,4.64572991573911,0.8825802499999996,1.993442897008845
shape,20,search,0.5,4.606462889538282,0.8890528750000002,2.029205164966643
shape,20,search,0.6,4.57824341328973,0.8927748750000004,2.057134874257731
shape,20,search,0.7,4.538769091385035,0.8955719999999999,2.0766181644014794
shape,20,search,0.8,4.486479772490608,0.8963887500000001,2.0920659486131803
shape,20,search,0.9,4.439320034790884,0.8934863750000003,2.104607917168336
shape,20,search,1.0,4.419362792200223,0.8600872500000001,2.113011448396732
shape,20,fixed,0.0,4.623899952421465,0.8182157500000004,1.7329896777657712
shape,20,fixed,0.1,4.456085062088521,0.8379226250000001,1.9011486310658676
shape,20,fixed,0.2,4.380352472019469,0.8519443750000008,2.0693075843659665
shape,20,fixed,0.3,4.356301024720091,0.8629252499999996,2.237466537666064
shape,20,fixed,0.4,4.367521079246391,0.8717687500000004,2.405625490966159
shape,20,fixed,0.5,4.404885071576118,0.8786512499999999,2.5737844442662596
shape,20,fixed,0.6,4.46292992529359,0.883620125,2.741943397566356
shape,20,fixed,0.7,4.538482390270518,0.886247375000001,2.9101023508664503
