dgp,Ts,family,lam,rule,score,coverage,width
mixed,20,corrected,0.4,,9.249830545535872,0.8808631250000005,3.876704518626077
mixed,20,corrected,0.5,,9.193729172619964,0.8850068749999996,3.928046312572395
mixed,20,corrected,0.6,,9.151890514452134,0.8893818749999998,3.957601427503332
mixed,20,corrected,0.7,,9.035883381577866,0.8905577500000003,3.9758956686449047
mixed,20,corrected,0.8,,8.936391658387235,0.8914628749999999,3.9877296186784
mixed,20,corrected,0.9,,8.833858250545767,0.8861546250000006,3.9949921309691807
mixed,20,corrected,1.0,,8.794369002573127,0.8464241249999996,3.993798477916266
mixed,20,corrected,0.475,cv_score,9.263513350860775,0.870317375,3.91714101462402
mixed,20,corrected,0.7005,cv_cov,9.076562918432169,0.87867975,4.075353790092836
mixed,35,plain,0.0,,9.552643076064948,0.8358705000000003,3.1427907521819427
mixed,35,plain,0.1,,9.479730168801384,0.847547875,3.1755584642607095
mixed,35,plain,0.2,,9.437723642747324,0.85301775,3.1946412792216807
mixed,35,plain,0.3,,9.389553349825965,0.8582873750000002,3.2053031500841773
mixed,35,plain,0.4,,9.349138798700794,0.8619014999999993,3.2095178830774866
mixed,35,plain,0.5,,9.318382696931828,0.8640876250000002,3.207354958233204
mixed,35,plain,0.6,,9.30337108413148,0.8649557499999997,3.1962889036859896
mixed,35,plain,0.7,,9.267124109307225,0.8653190000000001,3.1762038373622046
mixed,35,plain,0.8,,9.21618017242648,0.8650206250000002,3.1496733219207913
mixed,35,plain,0.9,,9.19297556369293,0.86169075,3.1117128782120735
mixed,35,plain,1.0,,9.149975612838888,0.8408663749999997,3.051149593225519
mixed,35,corrected,0.0,,9.51839863142789,0.8411348749999995,3.192096762363795
mixed,35,corrected,0.1,,9.447195168413046,0.8603410000000001,3.317821846955145
mixed,35,corrected,0.2,,9.339845034257754,0.8691038749999999,3.3972387369792334
mixed,35,corrected,0.3,,9.20938348398778,0.87634375,3.46481605409657
mixed,35,corrected,0.4,,9.072794327786795,0.8819461249999996,3.5279746978103046
mixed,35,corrected,0.5,,8.939916464302929,0.8870882499999999,3.589653055518459
mixed,35,corrected,0.6,,8.830496402666146,0.8921097500000008,3.6509525172533985
mixed,35,corrected,0.7,,8.730750713562756,0.8953123749999996,3.710595183507286
mixed,35,corrected,0.8,,8.639427816878582,0.8971810000000001,3.7696993998021
mixed,35,corrected,0.9,,8.563327222444531,0.895565875,3.828773719487773
mixed,35,corrected,1.0,,8.512048699329945,0.8827882499999996,3.887798101779652
mixed,35,corrected,0.63,cv_score,8.814897461236724,0.8734396249999999,3.6853268199419116
mixed,35,corrected,0.6915,cv_cov,8.784459883825424,0.8899157500000001,3.9474671953634526
mixed,50,plain,0.0,,9.485113939879323,0.832668875,2.9611877489229532
mixed,50,plain,0.1,,9.40301215632727,0.8435317500000002,3.0188143773089933
mixed,50,plain,0.2,,9.34723313893701,0.8530776250000003,3.062896239298122
mixed,50,plain,0.3,,9.30171838398558,0.8591507499999999,3.097908800692651
mixed,50,plain,0.4,,9.258405921233846,0.864142375,3.124051075957484
mixed,50,plain,0.5,,9.217408439422181,0.8674825,3.14330495104414
mixed,50,plain,0.6,,9.18278921414973,0.8703769999999994,3.153873873419582
mixed,50,plain,0.7,,9.147824625313703,0.8713612499999998,3.1577293312412618
mixed,50,plain,0.8,,9.12184968664076,0.8726361250000001,3.151366188541034
mixed,50,plain,0.9,,9.088696515260333,0.8709128750000003,3.131073126285036
mixed,50,plain,1.0,,9.03845239977431,0.8579767500000001,3.08596250495356
mixed,50,corrected,0.0,,9.463251881015196,0.8361348750000005,2.9825322912435013
mixed,50,corrected,0.1,,9.321872461292676,0.8509101249999997,3.1061001664371215
mixed,50,corrected,0.2,,9.164220732358123,0.8618441249999993,3.205814242603573
mixed,50,corrected,0.3,,9.082815200322921,0.8701581250000001,3.2962248529681633
mixed,50,corrected,0.4,,8.992663778650316,0.876631875,3.3732430794713557
mixed,50,corrected,0.5,,8.96751179197062,0.8809055,3.436755677137335
mixed,50,corrected,0.6,,8.905724650603432,0.8850202500000004,3.4842088844386256
mixed,50,corrected,0.7,,8.89703753199585,0.8864377500000002,3.5159849800255127
mixed,50,corrected,0.8,,8.850009736677373,0.8891242499999996,3.5291271620562585
mixed,50,corrected,0.9,,8.778058379824017,0.8899938749999997,3.5250444513837644
mixed,50,corrected,1.0,,8.674963706409224,0.8789305000000005,3.503919920113735
mixed,50,corrected,0.721,cv_score,8.693971339613784,0.878024625,3.5281364544962255
mixed,50,corrected,0.8270000000000001,cv_cov,8.775064420159772,0.8857916250000001,3.5812539587071393
null,20,plain,0.0,,4.514586008075375,0.8558573750000001,3.145758672657627
null,20,plain,0.1,,4.481382177947735,0.855143375,3.1143407413353295
null,20,plain,0.2,,4.459748834196025,0.8533959999999996,3.081298129998593
null,20,plain,0.3,,4.4564339791798595,0.8502513749999999,3.045821134480004
null,20,plain,0.4,,4.459294155073873,0.8462820000000003,3.007437272072993
null,20,plain,0.5,,4.471573285553123,0.8413373749999998,2.9654962596033227
null,20,plain,0.6,,4.518155033801279,0.83374225,2.919700432442086
null,20,plain,0.7,,4.564784280093825,0.8255608750000002,2.8690950826897486
