T,method,season,coverage_mean,coverage_se,width_mean
480,EnbPI-S-C,2,0.8645000000000002,0.006815331980175287,8.872804700428198
480,EnbPI-S-C,3,0.8620000000000002,0.007860025445251434,4.632165263159235
480,EnbPI-S-C,4,0.862,0.00750199973340442,4.690976103377339
480,EnbPI-S-C,5,0.8660000000000002,0.00743101608126372,4.678673686425611
480,EnbPI-S-C,6,0.8680000000000001,0.00844866853415377,4.602191022608599
480,EnbPI-S-C,7,0.8555000000000001,0.007060364721457384,4.651075694757835
480,EnbPI-S-C,8,0.86,0.007874007874011811,8.861725732925605
480,EnbPI-S-C,9,0.86,0.0073824115301167,9.036315029576235
480,EnbPI-S-C,10,0.8595,0.007908776770145938,4.615689765952602
480,EnbPI-S-C,11,0.8525000000000001,0.007580814600028153,4.5655374403539914
480,EnbPI-S-C,12,0.8415,0.007851034963621039,4.514671023436474
480,EnbPI-S-C,0,0.8600416666666666,0.00235871426546564,6.143755812200108
